ID,PubchemFP697,PubchemFP362,maxssssC,PubchemFP314,C1SP3,ASP-6,PubchemFP443,nN,piPC8,PubchemFP380,SpMin4_Bhe,GATS7v,PubchemFP824,PubchemFP549,AATS0v,PubchemFP680,SdsCH,AATSC4m,BCUTw-1l,VC-3,Class
1431,0,0,0,0,0,0.0665,1,1,3.8408,1,0.5785,0,0,1,248.7597,1,0,-2.9906,11.999,0.2199,Positive
1435,0,0,0,0,0,0.0707,1,0,3.1689,1,0.4445,0,0,0,307.3364,1,0,-134.2735,11.9989,0.4838,Negative
1439,0,0,0,0,0,0.0665,1,1,3.8408,1,0.4617,0,0,1,248.7597,1,0,-2.3357,11.9963,0.2194,Positive
1440,0,0,0,0,0,0.0641,1,1,3.8408,1,0.5048,0.8112,0,1,248.7597,1,0,-11.6007,11.9963,0.2392,Positive
1441,0,0,0,0,0,0.0531,1,4,6.7138,1,1.4028,1.1233,0,1,255.0111,1,0,-8.3747,11.9962,0.7249,Negative
1481,0,1,0,0,0,0.0634,0,0,0,0,0.094,0,0,0,335.5889,1,0,51.226,11.9986,0.5722,Positive
1484,0,0,0,0,0,0.0449,0,2,7.7315,0,1.6047,1.0256,0,1,260.3779,1,0,1.94,11.999,1.2785,Negative
1485,0,1,0,0,0,0.0602,0,0,0,0,0.0835,0,0,0,350.9303,1,0,-48.0553,11.9986,0.6753,Negative
1496,0,0,0,0,0,0.0859,1,0,0,0,0.4315,0.4005,0,0,238.9268,1,0.7356,-3.6969,11.85,0.1708,Positive
1498,0,0,0,0,0,0.0767,0,1,0,0,0.3954,0.9443,0,1,239.2671,1,0,-7.0513,11.85,0.1924,Negative
1500,1,0,0,0,0,0.0517,1,0,5.9082,0,0.8225,1.1483,1,0,246.3754,1,0,-7.616,11.9962,0.4574,Negative
1501,1,0,0,0,0,0.0575,0,0,6.3058,0,0.7986,1.0121,0,0,242.7426,1,0,-6.1662,11.85,0.3157,Negative
1502,1,0,0.0274,0,0,0.0476,0,0,6.1373,0,1.0805,0.9405,0,0,216.944,1,0,-3.502,11.9,0.7425,Negative
1504,0,0,0,0,0,0.0547,0,0,5.6684,0,0.7986,1.0357,0,0,253.903,1,0,-14.4511,11.85,0.58,Negative
1509,0,1,0,0,0,0.0721,0,0,0,0,0.0815,0,0,0,299.213,1,0,-21.8684,11.9986,0.4019,Negative
1518,0,0,0,0,0,0.0546,0,0,3.6628,0,0.5489,0,0,0,244.7964,1,0,-5.3574,11.9964,0.4358,Positive
1521,1,0,0,0,0,0.0542,1,0,6.3728,0,0.7393,0.5369,0,0,254.2923,1,0.6782,-4.4438,11.85,0.2922,Positive
1523,0,0,0,0,0,0.067,0,1,0,0,0.3647,0,0,1,239.2671,1,0,1.0682,11.85,0.1924,Negative
1531,0,0,0,0,0,0.0596,0,0,6.0187,0,0.6287,0,0,0,247.3805,1,0,-6.8692,11.85,0.2201,Negative
1543,0,0,0,0,0,0.0833,0,0,0,0,0.0112,0,1,0,225.7418,1,0,-15.3277,11.9964,0.1291,Positive
1553,0,0,0,0,4,0.0679,1,0,3.6889,1,1.416,1.2006,0,0,205.2174,0,2.8144,-7.8935,11.79,0.8514,Negative
1562,0,0,0,0,4,0.085,0,0,0.6931,0,0.6304,0.9841,0,0,162.3291,0,0,1.585,11.9964,0.2582,Negative
1563,0,0,0,0,3,0.1162,0,0,0,0,0.5283,1.0187,0,0,169.6799,0,1.5874,1.301,11.79,0.1291,Negative
1565,0,0,0,0,1,0.0796,0,0,3.944,0,0.7986,0.7852,0,0,216.944,0,3.6065,-1.6959,11.85,0.0962,Positive
1574,0,0,0,0,2,0.0255,0,0,3.2189,0,1.0015,1.0313,0,0,230.8099,1,0,5.063,11.9962,1.3495,Negative
1580,0,0,0,0,4,0.0561,1,2,5.7396,0,1.2025,0.9324,0,1,213.2682,0,0,-0.4396,11.85,0.404,Negative
1584,0,0,0,0,6,0.0633,0,3,2.9444,0,1.0759,0.8981,0,0,162.3202,0,0,3.4418,11.9963,0.4743,Positive
1592,0,0,0,0,6,0.1067,0,0,1.0986,0,0.4654,1.0966,0,0,160.0765,0,0,0.9876,11.9964,0,Negative
1599,0,1,0,0,0,0.0597,0,1,4.7441,0,0.5681,0.6959,0,1,282.8585,0,0,-20.0337,11.9986,0.5782,Negative
1602,0,0,0,0,0,0.052,1,0,5.1969,0,0.8824,0.7879,0,0,266.3368,0,0.1893,-7.7684,11.999,0.6904,Negative
1603,0,0,0,0,0,0.0536,0,1,0,0,0.7986,0.1696,0,1,256.587,0,0,-22.0447,11.999,0.4282,Negative
1609,1,0,0,0,0,0.0401,1,0,6.9794,0,1.119,1.3926,0,0,280.5942,0,0,-1.5252,11.999,0.6777,Negative
1615,0,0,0,1,6,0.0647,0,2,2.4849,0,1.0144,0.9383,0,0,205.3449,0,0,-9.361,11.9986,0.3786,Negative
1618,0,0,0,0,4,0.0634,0,2,3.3673,0,1.1463,1.6332,0,0,244.2792,0,0,6.2767,11.997,0.8042,Negative
1624,0,0,0,0,0,0.0585,0,1,5.8615,0,0.6794,0,0,1,303.7937,0,0,-14.4144,11.9985,0.6087,Negative
